,Name_Store,Address
0,Aachtal,"Schrofenstrasse 19, 8580 Amriswil"
1,Aadorf,"Bahnhofstrasse 2, 8355 Aadorf"
2,Aarau - Igelweid,"Igelweid 18, 5000 Aarau"
3,Aarau Bahnhof,"Bahnhofplatz 3h, 5000 Aarau"
4,Abtwil - Säntispark,"Wiesenbachstrasse 7, 9030 Abtwil SG"
5,Adligenswil,"Obgardirain 1, 6043 Adligenswil"
6,Adliswil,"Albisstrasse 10, 8134 Adliswil"
7,Aesch,"Hauptstrasse 95, 4147 Aesch"
8,Affoltern a. A.,"Oberdorfstrasse 4, 8910 Affoltern am Albis"
9,Aigle - Chablais Centre,"Ch. Sous-le-Grand Pré 4, 1860 Aigle"
10,Aigle gare,"Place de la gare 5, 1860 Aigle"
11,Allschwil - Binningerstr.,"Binningerstrasse 91, 4123 Allschwil"
12,Allschwil - Paradies,"Spitzwaldstrasse 215, 4123 Allschwil"
13,Allschwil - Ziegelei,"Baslerstrasse 191, 4123 Allschwil"
14,Alnatura Bio Super Markt Baden,"Bahnhofstrasse 31, 5400 Baden"
15,Alnatura Bio Super Markt Basel Kirschgarten,"Henric Petri-Strasse 20, 4051 Basel"
16,Alnatura Bio Super Markt Bern,"Bärenplatz 8, 3011 Bern"
17,Alnatura Bio Super Markt Bülach,"Bahnhofstrasse 28, 8180 Bülach"
18,Alnatura Bio Super Markt Oerlikon,"Baumackerstrasse 35, 8050 Zürich-Oerlikon"
19,Alnatura Bio Super Markt Solothurn,"Hauptgasse 28, 4500 Solothurn"
20,Alnatura Bio Super Markt St. Gallen,"St. Leonhard-Strasse 33, 9001 St. Gallen"
21,Alnatura Bio Super Markt Winterthur-Grüze,"Industriestrasse 11, 8400 Winterthur"
22,Alnatura Bio Super Markt Zürich-City,"Löwenstrasse 31, 8001 Zürich"
23,Alnatura Bio Super Markt Zürich-Höngg,"Kappenbühlweg 5, 8049 Zürich"
24,Altdorf,"Gitschenstrasse 14, 6460 Altdorf"
25,Altstätten SG,"Stossstrasse 2, 9450 Altstätten SG"
26,Amriswil - Amriville,"Kirchstrasse 11, 8580 Amriswil"
27,Andelfingen,"Weinlandstrasse 4, 8451 Kleinandelfingen"
28,Appenzell,"Unteres Ziel, 9050 Appenzell"
29,Arbedo Castione,"Via Corogna, 6532 Castione"
30,Arbon,"St. Gallerstrasse 6, 9320 Arbon"
31,Ascona,"Via Muraccio 2, 6612 Ascona"
32,Au SG,"Nollenhornstrasse 9, 9434 Au SG"
33,Avenches,"Route de Pré-Vert 5, 1580 Avenches"
34,Avry Centre,"Route de Matran 9, 1754 Avry-sur-Matran"
35,Baar,"Bahnhofstrasse 5, 6340 Baar"
36,Bad Zurzach,"Promenadenstrasse 10, 5330 Bad Zurzach"
37,Baden - City,"Bahnhofstrasse 40/42, 5400 Baden"
38,Balsthal,"Goldgasse 13, 4710 Balsthal"
39,Basel - Bahnhof SBB,"Centralbahnstrasse 10, 4051 Basel"
40,Basel - Burgfelder,"Burgfelderstrasse 11, 4055 Basel"
41,Basel - Claramarkt,"Untere Rebgasse 11, 4058 Basel"
42,Basel - Drachen-Center,"Aeschenvorstadt 24, 4051 Basel"
43,Basel - Dreispitz MParc,"Münchensteinerstrasse 200, 4053 Basel"
44,Basel - Gundelitor,"Güterstrasse 180, 4053 Basel"
45,Basel - Juniors Market,"Grenzacherstrasse 62/64, 4058 Basel"
46,Basel - Märtplatz,"Eisengasse 12, 4051 Basel"
47,Basel - Stücki,"Hochbergerstrasse 70, 4057 Basel"
48,Basel - Zürcherstrasse,"Zürcherstrasse 160, 4052 Basel"
49,Bassersdorf,"Baltenswilerstrasse 5a, 8303 Bassersdorf"
50,Bauma,"Heinrich - Gujerstrasse 10, 8494 Bauma"
51,Bazenheid,"Wilerstrasse 17, 9602 Bazenheid"
52,Bellinzona - Piazza del Sole,"Piazza Rinaldo Simen 8, 6500 Bellinzona"
53,Belp,"Steinbachstrasse 28, 3123 Belp"
54,Berikon - Mutschellen,"Bellikerstrasse 13, 8965 Berikon"
55,Beringen,"Schaffhauserstrasse 72, 8222 Beringen"
56,Bern - Bachmätteli,"Bottigenstrasse 7, 3018 Bern"
57,Bern - Bethlehem,"Riedbachstrasse 10, 3027 Bern"
58,Bern - Breitenrain,"Breitenrainstrasse 11, 3013 Bern"
59,Bern - Bubenberg,"Bubenbergplatz 8, 3011 Bern"
60,Bern - Freudenberg,"Giacomettistrasse 15, 3006 Bern"
61,Bern - Marktgasse,"Marktgasse 46, 3011 Bern"
62,Bern - Winkelried,"Wankdorffeldstrasse 71, 3014 Bern"
63,Bern - Zähringer,"Zähringerstrasse 43, 3012 Bern"
64,Bex,"Rue Centrale 43-45, 1880 Bex"
65,Biasca,"Via General Guisan 26, 6710 Biasca"
66,Biberist,"Hauptstrasse 21, 4562 Biberist"
67,Biel - Bielerhof,"Bahnhofstrasse 15, 2502 Biel/Bienne"
68,Biel - Bözingen,"Schlösslistrasse 7, 2504 Biel/Bienne"
69,Biel Stadion,"Sportallee 20, 2503 Biel"
70,Binningen - Gorenmatt,"Gorenmattstrasse 17, 4102 Binningen"
71,Birmensdorf,"Zürcherstrasse 15, 8903 Birmensdorf ZH"
72,Birsfelden,"Chrischonastrasse 2, 4127 Birsfelden"
73,Bischofszell,"Steigstrasse 5, 9220 Bischofszell"
74,Bière,"Le Centre, 1145 Bière"
75,Blonay,"Route du Village 37, 1807 Blonay"
76,Bremgarten,"Zürcherstrasse 8, 5620 Bremgarten AG"
77,Bremgarten AG,"Zufikerstrasse 2, 5620 Bremgarten AG"
78,Bremgarten Kalchacker,"Kalchackerstrasse 9, 3047 Bremgarten b. Bern"
79,Brienz,"Hauptstrasse 51, 3855 Brienz BE"
80,Brig,"Belalpstrasse 1, 3900 Brig"
81,Bronschhofen,"Amp-Strasse 2, 9552 Bronschhofen"
